Latitud,Longitud
19.017386333333334,-98.241994
19.017390166666665,-98.24197616666666
19.017394666666668,-98.241961
19.017399166666667,-98.24194616666666
19.017405833333335,-98.24192866666667
19.017413666666666,-98.24191033333334
19.017422833333335,-98.241892
19.017432833333334,-98.241874
19.017443333333333,-98.24185566666667
19.017454,-98.24183666666667
19.017465833333333,-98.24181816666666
19.017478833333332,-98.24180033333333
19.017493333333334,-98.24178316666666
19.017509166666667,-98.2417665
19.017525666666668,-98.241751
19.017542,-98.241737
19.017557666666665,-98.24172433333334
19.017572666666666,-98.24171233333334
19.017587166666665,-98.24170083333334
19.017600666666667,-98.24168916666666
19.017613,-98.24167683333333
19.017623666666665,-98.24166283333334
19.017632166666665,-98.24164733333333
19.017637666666666,-98.24163033333333
19.01764,-98.24161266666667
19.017639666666668,-98.24159433333334
19.017636666666668,-98.24157466666666
19.017631833333333,-98.24155266666666
19.0176255,-98.24152866666667
19.017618166666665,-98.24150233333333
19.01761,-98.24147433333333
19.0176015,-98.24144516666667
19.017593,-98.241416
19.017585,-98.241387
19.017576833333333,-98.24135883333334
19.017568833333332,-98.2413315
19.017561,-98.2413055
19.017553333333332,-98.2412805
19.017546,-98.24125583333333
19.017538666666667,-98.24123133333333
19.017531,-98.241207
19.017523333333333,-98.24118283333334
19.0175155,-98.24115883333333
19.017507333333334,-98.24113516666667
19.017499333333333,-98.24111266666667
19.017491833333334,-98.24109316666667
19.0174825,-98.24107616666667
19.0174695,-98.24106366666666
19.017452666666667,-98.24105583333333
19.017434,-98.24105316666666
19.0174145,-98.24105383333334
19.017394666666668,-98.24105566666667
19.017375333333334,-98.24105566666667
19.017357333333333,-98.24105133333333
19.017344833333333,-98.24104
19.017339833333335,-98.24102583333334
19.0173405,-98.24101233333333
19.017345,-98.24100016666667
19.017352333333335,-98.240988
19.017363,-98.24097516666667
19.017375833333332,-98.24096233333333
19.017387666666668,-98.2409505
19.017398166666666,-98.24093983333333
19.017407333333335,-98.2409305
19.01741833333333,-98.240919
19.017428833333334,-98.24090783333334
19.017440666666666,-98.24089483333333
19.017454999999998,-98.24087883333333
19.01747,-98.24086133333333
19.017486166666668,-98.2408425
19.017501666666668,-98.24082316666667
19.017517,-98.24080333333333
19.017531833333333,-98.24078316666666
19.0175465,-98.24076233333334
19.017560833333334,-98.240741
19.01757466666667,-98.24071983333333
19.017586666666666,-98.24070016666667
19.01759716666667,-98.24068283333334
